Name,Lon,Lat,Glon,Glat,Gidx,Gjdx,Dist(km),VZA
Banizoumbou,2.66519,13.54693,2.6364958261886544,13.519686923666518,5340,2064,4.335822356951593,88.369995
OceolaNF,-82.442778,30.205278,-82.44425635045502,30.20395902986307,2365,1163,0.20418879729628447,36.469997
JonesERC,-84.471111,31.23083,-84.47695805060152,31.241419116507647,2277,1119,1.3020914636992436,38.21
TallTimbers,-84.23889,30.664167,-84.2339957075368,30.661917279880974,2285,1144,0.5307757614955341,37.489998
OkefenokeeNWR,-82.128611,30.741111,-82.12272473330516,30.748536396291783,2382,1139,0.9990829154202852,37.03
Bermuda,-64.696111,32.37,-64.68844574486958,32.37644749431944,3177,1071,1.0159691507403665,39.55
Dry_Tortugas,-82.871944,24.628056,-82.87224984144495,24.637146560147258,2323,1418,1.0112967564157598,30.46
Ascension_Island,-14.414722,-7.976389,-14.412650186785594,-7.9692933290697505,5210,3113,0.8213262208849516,68.9
Windsor_B,-83.083,42.283,-83.08166105364931,42.271612514284236,2397,687,1.271013384597961,49.92
Barbados,-59.624122,13.148575,-59.63100149440059,13.154906171705674,3523,2000,1.0249315079021024,23.789999
Tahiti,-149.6063,-17.5769,-149.5709790692438,-17.582483220682423,150,3554,3.795207082858957,85.299995
Tamihua,-97.44245,21.260717,-97.45234274862116,21.25457132886935,1609,1594,1.2320631492070102,35.899998
T0_MAX_MEX,-99.1485,19.489944,-99.15239210775746,19.491551180541627,1517,1683,0.44540638705146945,36.17
Quarzazate,-6.909,30.939,-6.890826960426105,30.95671944602511,4953,1263,2.624052723860754,80.759995
CARTEL_POL,-71.931333,45.379444,-71.91838929200463,45.38332927496072,2825,581,1.0993684620649729,52.739998
Rame_Head,-4.219809,50.317132,-4.205884365204204,50.301413669401484,4381,585,2.0081358344764206,89.909996
